,confidence,confidence,confidence,confidence,confidence,confidence,confidence,confidence,confidence,predicted_class,predicted_class,predicted_class,predicted_class,predicted_class,predicted_class,predicted_class,predicted_class,predicted_class
model_name,v27_ep14_sam_detected,v27_ep9_sam_not_detected,v31_ep11,v31_ep9,v33_ep16,v33_ep18,v33_ep19,v33_ep24,v33_ep27,v27_ep14_sam_detected,v27_ep9_sam_not_detected,v31_ep11,v31_ep9,v33_ep16,v33_ep18,v33_ep19,v33_ep24,v33_ep27
file,,,,,,,,,,,,,,,,,,
Eliza1.mp3,81.74%,97.79%,74.21%,81.56%,29.99%,53.98%,64.62%,60.73%,92.61%,left,left,water,water,water,river,river,water,water
Hello1.mp3,87.56%,35.05%,87.17%,64.94%,97.07%,87.74%,67.86%,99.93%,98.63%,stop,dog,top,done,girl,girl,girl,girl,girl
Skywalker_en-AU-jimm.mp3,99.97%,98.31%,76.81%,26.93%,57.59%,54.12%,91.09%,36.63%,99.99%,five,five,small,fire,small,sun,small,son,son
Skywalker_en-AU-kylie.mp3,96.03%,43.68%,98.59%,99.81%,100.00%,100.00%,100.00%,100.00%,100.00%,seven,follow,seven,seven,seven,seven,seven,seven,seven
Thunderbolt_en-AU-jimm.mp3,67.33%,72.16%,98.36%,94.12%,89.53%,91.60%,99.96%,95.58%,77.88%,forward,tiempo,public,public,public,number,number,father,father
Thunderbolt_en-AU-kylie.mp3,86.86%,36.42%,37.03%,99.97%,96.02%,99.11%,99.97%,99.97%,100.00%,juego,tiempo,under,sometimes,number,number,number,number,number
alexa_1.wav,98.15%,41.15%,31.15%,28.17%,99.73%,100.00%,99.94%,100.00%,100.00%,five,five,until,under,idea,idea,idea,idea,idea
alexa_2.wav,49.72%,29.07%,36.45%,22.49%,36.22%,83.55%,34.58%,95.15%,93.71%,seis,five,county,once,few,until,few,few,few
alexa_3.wav,45.14%,85.50%,42.90%,26.61%,90.32%,76.08%,96.90%,62.75%,96.17%,six,right,until,include,anything,anything,anything,everything,anything
alexa_4.wav,48.44%,95.47%,43.58%,17.88%,43.01%,13.01%,26.32%,72.71%,59.84%,five,five,point,point,played,played,please,family,anything
alexa_5.wav,96.31%,52.73%,35.50%,71.66%,99.83%,100.00%,99.23%,100.00%,100.00%,forward,house,until,include,idea,idea,idea,idea,idea
kallan_1.wav,25.68%,84.87%,89.49%,27.22%,86.87%,90.46%,64.55%,60.79%,82.39%,seis,color,well,without,south,father,south,father,south
kallan_2.wav,77.16%,47.51%,47.80%,33.39%,80.90%,57.18%,80.57%,96.67%,99.94%,four,follow,until,done,money,among,money,money,money
munez_2.wav,94.46%,65.99%,25.17%,65.25%,24.79%,57.69%,58.51%,64.56%,98.57%,four,one,woman,morning,wanted,within,within,within,within
munez_3.wav,69.81%,47.54%,44.01%,34.95%,42.55%,54.51%,89.93%,99.21%,46.39%,four,learn,wanted,morning,within,today,within,woman,within
nigga2.wav,98.97%,99.64%,27.97%,94.73%,60.40%,57.86%,65.15%,99.50%,99.99%,vida,vida,mean,music,yes,yes,englishman,yes,yes
nigga3.wav,93.75%,99.93%,98.12%,71.44%,100.00%,100.00%,100.00%,100.00%,100.00%,ciudad,vida,idea,music,yes,yes,yes,yes,yes
sam_1.wav,99.94%,72.48%,43.88%,45.93%,63.45%,64.97%,65.71%,97.84%,59.66%,seven,seven,sun,seven,sun,sun,sun,sun,sun
sam_2.wav,50.65%,40.56%,10.89%,19.57%,60.06%,58.70%,58.84%,89.06%,98.77%,ciudad,canción,girl,done,son,son,sun,son,son
shambu_1.wav,80.60%,76.35%,55.25%,44.27%,81.15%,91.56%,59.55%,98.34%,99.97%,stop,two,family,family,done,done,done,done,done
shambu_2.wav,34.29%,92.78%,66.01%,87.97%,100.00%,100.00%,99.99%,99.99%,100.00%,two,two,until,young,until,until,until,until,until
shiva_1.wav,99.73%,79.62%,47.70%,64.29%,41.76%,82.51%,26.27%,48.70%,26.20%,ciudad,ciudad,show,idea,soon,soon,few,soon,soon
shiva_2.wav,84.78%,64.90%,30.60%,30.37%,98.23%,89.88%,69.97%,94.93%,90.32%,ciudad,ciudad,until,nine,few,until,until,few,few
